"","Builder","Pair","Model","Rater","RaterAge","RaterGender","RaterEduYears","RaterEduArea","RaterEnglishSkills","ConceptAttributed","Clarity","Originality","Condition","Order","Concept","Accuracy","BuilderAgeYears","BuilderEduArea","BuilderEduYears","BuilderBaseRapport","BuilderEQ","BuilderSQ","BuilderIndividualEnjoyment","BuilderCollectiveEnjoyment","BuilderIndividualClarity","BuilderCollectiveClarity","BuilderIndividualCreativity","BuilderCollectiveCreativity","CoBuilderEQ","CoBuilderSQ","BuilderCollectiveEQ","BuilderCollectiveSQ","BuilderGender"
"59",1,22,"16",38,24,"Female",18,"Humanities",5,"Knowledge",3,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"60",1,22,"16",41,20,"Female",14,"Humanities",5,"Trust",1,1,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"61",1,22,"16",27,28,"Male",20,"Law",5,"Fairness",4,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"62",1,22,"16",100,19,"Male",13,"Technology",6,"Fairness",5,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"63",1,22,"16",24,32,"Female",12,"High School",6,"Fairness",1,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"64",1,22,"16",104,21,"Male",17,"Technology",6,"Responsibility",1,5,"Individual",1,"Responsibility",1,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"65",1,22,"16",99,26,"Female",20,"Humanities",6,"Knowledge",1,5,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"66",1,22,"16",37,26,"Other",22,"Social Sciences",6,"Knowledge",2,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"67",1,22,"16",6,24,"Female",16,"Natural Sciences",5,"Knowledge",2,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"68",1,22,"16",63,27,"Female",20,"Humanities",4,"Fairness",2,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"69",1,22,"16",102,36,"Female",13,"Advertisment",2,"Knowledge",5,5,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"70",1,22,"16",10,23,"Male",16,"Humanities",5,"Knowledge",1,5,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"71",1,22,"16",7,57,"Female",14,"Social Sciences",3,"Knowledge",2,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"72",1,22,"16",46,20,"agender",16,"Humanities",6,"Responsibility",3,4,"Individual",1,"Responsibility",1,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"73",1,22,"16",52,28,"Male",21,"Technology",5,"Knowledge",3,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"74",1,22,"16",91,29,"Male",14,"Humanities",6,"Knowledge",2,1,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"75",1,22,"16",26,22,"Male",16,"Humanities",5,"Knowledge",1,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"76",1,22,"16",34,29,"Male",18,"Social Sciences",6,"Knowledge",3,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"77",1,22,"16",9,28,"Male",NA,"Humanities",4,"Fairness",1,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"78",1,22,"16",42,30,"Female",25,"Social Sciences",6,"Knowledge",3,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"79",1,22,"16",48,25,"Female",20,"Natural Sciences",5,"Knowledge",3,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"80",1,22,"16",65,22,"Female",16,"Humanities",6,"Responsibility",1,1,"Individual",1,"Responsibility",1,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"81",1,22,"16",45,32,"Male",22,"Technology",5,"Trust",1,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"82",1,22,"16",49,21,"Female",14,"Humanities",5,"Knowledge",3,5,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"83",1,22,"16",60,30,"Male",22,"Technology",6,"Knowledge",2,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"84",1,22,"16",51,21,"Female",14,"Humanities",4,"Knowledge",1,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"85",1,22,"16",103,37,"Male",17,"Natural Sciences",6,"Knowledge",1,6,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"86",1,22,"16",77,25,"Female",18,"Humanities",3,"Knowledge",1,6,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"87",1,22,"16",101,39,"Female",20,"Natural Sciences",5,"",NA,NA,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"88",1,22,"16",21,24,"Female",15,"Technology",4,"Knowledge",6,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"89",1,22,"16",93,26,"Female",17,"Health",4,"Trust",1,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"90",1,22,"16",97,24,"Other",18,"Humanities",6,"Responsibility",1,5,"Individual",1,"Responsibility",1,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"91",1,22,"16",71,25,"Male",16,"Social Sciences",6,"Trust",1,6,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"92",1,22,"16",73,27,"Male",21,"Natural Sciences",6,"Knowledge",4,5,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"93",1,22,"16",74,29,"Male",18,"Natural Sciences",4,"",NA,NA,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"94",1,22,"16",39,25,"Female",18,"Humanities",5,"Knowledge",2,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"95",1,22,"16",18,28,"Female",20,"Social Sciences",4,"Knowledge",4,4,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"96",1,22,"16",66,25,"Female",17,"Health",5,"Trust",2,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"97",1,22,"16",90,24,"Male",17,"Humanities",5,"Responsibility",1,6,"Individual",1,"Responsibility",1,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"98",1,22,"16",85,27,"Male",20,"Natural Sciences",5,"Knowledge",1,6,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"99",1,22,"16",40,29,"Male",17,"Technology",5,"Trust",1,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"100",1,22,"16",35,22,"Female",16,"Humanities",5,"Knowledge",4,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"101",1,22,"16",33,28,"Male",14,"Technology",6,"Knowledge",4,2,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"102",1,22,"16",69,25,"Male",13,"Humanities",3,"Knowledge",3,1,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"103",1,22,"16",16,29,"Female",22,"Health, Humanities and Social Sciences",6,"Trust",3,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"104",1,22,"16",79,24,"Female",17,"Social Sciences",4,"",NA,NA,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"105",1,22,"16",82,23,"Female",15,"Technology",5,"Fairness",5,1,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"106",1,22,"16",68,38,"Male",21,"Humanities",6,"Knowledge",4,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"107",1,22,"16",15,23,"Female",17,"Social Sciences",5,"Fairness",2,3,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"108",1,22,"16",4,NA,"Male",15,"Social Sciences",5,"Knowledge",2,6,"Individual",1,"Responsibility",0,23,"Humanities",16,6,54,24,6,5,6,4,5,5,36,29,45,26.5,"Female"
"109",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,"Humanities",13,5,30,22,5,6,5,5,2,5,60,36,45,29,"Male"
"110",2,14,"57",2,18,"Male",13,"Technology",6,"Trust",5,5,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",2,14,"57",97,24,"Other",18,"Humanities",6,"Trust",5,4,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",2,14,"57",44,42,"Male",14,"Technology",3,"Knowledge",3,3,"Individual",2,"Trust",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",2,14,"57",98,24,"Male",18,"Humanities",5,"Trust",5,2,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",2,14,"57",86,30,"Male",14,"Technology",6,"Trust",4,5,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",2,14,"57",22,26,"Female",19,"Humanities",6,"Trust",5,3,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",2,14,"57",36,25,"Other",16,"Humanities",5,"Trust",4,5,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2,14,"57",8,26,"Female",14,"High School",4,"Trust",6,1,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",2,14,"57",11,19,"Female",14,"Natural Sciences",4,"Trust",6,6,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",2,14,"57",78,54,"Female",21,"Humanities",5,"Fairness",3,3,"Individual",2,"Trust",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2,14,"57",92,18,"Male",15,"IT",3,"Trust",6,5,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",2,14,"57",106,28,"Male",15,"Humanities",5,"Responsibility",5,3,"Individual",2,"Trust",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",2,14,"57",55,25,"Male",17,"Humanities",6,"Trust",6,2,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",2,14,"57",41,20,"Female",14,"Humanities",5,"Fairness",3,3,"Individual",2,"Trust",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2,14,"57",30,28,"Female",22,"Humanities",5,"Trust",4,2,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",2,14,"57",89,24,"Female",17,"Humanities",6,"Fairness",4,4,"Individual",2,"Trust",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2,14,"57",47,28,"Female",20,"Humanities",6,"Trust",6,1,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2,14,"57",59,24,"Female",16,"Health",5,"Responsibility",6,6,"Individual",2,"Trust",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",2,14,"57",75,28,"Male",25,"Humanities",5,"Trust",5,2,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",2,14,"57",35,22,"Female",16,"Humanities",5,"Trust",4,NA,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",2,14,"57",79,24,"Female",17,"Social Sciences",4,"",NA,NA,"Individual",2,"Trust",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",2,14,"57",50,23,"Female",16,"Social Sciences",5,"Trust",6,5,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",2,14,"57",77,25,"Female",18,"Humanities",3,"Trust",6,1,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",2,14,"57",81,15,"Male",11,"Technology",6,"Fairness",4,4,"Individual",2,"Trust",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",2,14,"57",95,25,"Female",19,"Humanities",5,"Trust",4,1,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",2,14,"57",70,27,"Male",20,"Technology",5,"Trust",5,5,"Individual",2,"Trust",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",2,14,"57",28,25,"Male",15,"Natural Sciences",5,"",NA,NA,"Individual",2,"Trust",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
